sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0374_11_00,000040.png,0.9,1.0,26.717241060036944,0.7697358528626852,686.9626999996399
GOPR0374_11_00,000041.png,0.9,1.0,26.337541116621523,0.7395288390539125,681.8282000003819
GOPR0374_11_00,000042.png,0.9,1.0,26.10837188160927,0.735545923790815,675.1491999984864
GOPR0374_11_00,000043.png,0.9,1.0,27.323427202281078,0.7899938683487666,676.3983000000735
GOPR0374_11_00,000044.png,0.9,1.0,27.854748546491077,0.8115273655842978,676.9122999994579
GOPR0374_11_00,000045.png,0.9,1.0,27.592596420385114,0.8185227567685879,687.6216000000568
GOPR0374_11_00,000046.png,0.9,1.0,26.243428377448808,0.724060735923793,728.5554000009142
GOPR0374_11_00,000047.png,0.9,1.0,26.46293679677841,0.7348856691164879,776.4024000007339
GOPR0374_11_00,000048.png,0.9,1.0,26.237241330645844,0.7137694669768052,683.1603999999061
GOPR0374_11_00,000049.png,0.9,1.0,25.920739410053105,0.7188582450278619,674.0540000009787
GOPR0374_11_00,000050.png,0.9,1.0,26.16173696097181,0.7016990377302047,677.3365000008198
GOPR0374_11_00,000051.png,0.9,1.0,26.918549620101615,0.7792887835912065,684.70299999899
GOPR0374_11_00,000052.png,0.9,1.0,25.32188544844981,0.6823103235317163,674.6323999996093
GOPR0374_11_00,000053.png,0.9,1.0,26.000373607904038,0.7436294613592951,693.5954000000493
GOPR0374_11_00,000054.png,0.9,1.0,24.56752308241898,0.6968566719289081,710.6051000009757
GOPR0374_11_00,000055.png,0.9,1.0,23.48872133594622,0.6928201432139058,697.5572999999713
GOPR0374_11_00,000056.png,0.9,1.0,23.820613341976042,0.7018206807538002,740.4701999985264
GOPR0374_11_00,000057.png,0.9,1.0,22.89481359260118,0.6833447183731627,740.5329000011989
GOPR0374_11_00,000058.png,0.9,1.0,23.20272914568516,0.6936801152106292,704.1864999991958
GOPR0374_11_00,000059.png,0.9,1.0,22.92750241956903,0.6723618095500735,716.0407000010309
GOPR0374_11_00,000060.png,0.9,1.0,22.772837107072252,0.6888397851694638,699.096099999224
GOPR0374_11_00,000061.png,0.9,1.0,23.862168468987356,0.7135967242301132,712.0646000003035
GOPR0374_11_00,000062.png,0.9,1.0,23.500105381481987,0.7047524556361321,692.9698000003555
GOPR0374_11_00,000063.png,0.9,1.0,23.82545874418558,0.7283587226347242,699.2685999994137
GOPR0374_11_00,000064.png,0.9,1.0,23.517351671065647,0.7231780340166148,691.742000000886
GOPR0374_11_00,000065.png,0.9,1.0,22.974744669870187,0.7098912878143651,678.5082000005787
GOPR0374_11_00,000066.png,0.9,1.0,22.759060458427626,0.7108423263457878,688.9075999988563
GOPR0374_11_00,000067.png,0.9,1.0,21.3029932468675,0.6960410692527104,721.3592999996763
GOPR0374_11_00,000068.png,0.9,1.0,23.24656450830115,0.7240168911744685,684.0244000013627
GOPR0374_11_00,000069.png,0.9,1.0,25.84593527711402,0.808084345953271,694.2944000002171
GOPR0374_11_00,000070.png,0.9,1.0,26.007168510510926,0.795173976921013,672.8474999999889
GOPR0374_11_00,000071.png,0.9,1.0,25.898146841939198,0.7920938902139785,668.7965999990411
GOPR0374_11_00,000072.png,0.9,1.0,24.13243990778473,0.7175995611532358,679.1079000013269
GOPR0374_11_00,000073.png,0.9,1.0,22.966571851962172,0.7292451955183238,666.4368000001559
GOPR0374_11_00,000074.png,0.9,1.0,25.502033017635185,0.7731589432048311,689.7148999996716
GOPR0374_11_00,000075.png,0.9,1.0,26.087864362716807,0.8243165582232853,681.8749000012758
GOPR0374_11_00,000076.png,0.9,1.0,24.985162552943304,0.7481296579087892,710.9624999993684
GOPR0374_11_00,000077.png,0.9,1.0,24.11186625030968,0.7303343996193427,798.1881000014255
GOPR0374_11_00,000078.png,0.9,1.0,23.942948823886994,0.7358382399937934,695.4178999985743
GOPR0374_11_00,000079.png,0.9,1.0,26.281241268737745,0.7878280381487555,707.2917999994388
GOPR0374_11_00,000080.png,0.9,1.0,27.192795363824324,0.8186409085932973,698.9112999999634
GOPR0374_11_00,000081.png,0.9,1.0,25.17264603453973,0.749086970193312,703.7963000002492
GOPR0374_11_00,000082.png,0.9,1.0,26.015061575820656,0.7847673934482978,703.1829999996262
GOPR0374_11_00,000083.png,0.9,1.0,26.564483747726246,0.8175719086855437,706.4385000012408
GOPR0374_11_00,000084.png,0.9,1.0,24.98715899871864,0.7425489844344638,684.3848000007711
GOPR0374_11_00,000085.png,0.9,1.0,26.578956561471315,0.8122334725897004,689.1593000000285
GOPR0374_11_00,000086.png,0.9,1.0,25.564053564661798,0.7553135709930866,773.846300000514
GOPR0374_11_00,000087.png,0.9,1.0,24.631030390658015,0.7362391117318835,764.6155000002182
GOPR0374_11_00,000088.png,0.9,1.0,24.62952903356034,0.7393932970926033,685.9659999990981
GOPR0374_11_00,000089.png,0.9,1.0,22.57753656309096,0.7043670439831321,691.6237999994337
GOPR0374_11_00,000090.png,0.9,1.0,22.01616858506915,0.7070562370093733,678.2256000005873
GOPR0374_11_00,000091.png,0.9,1.0,23.51592655580395,0.7316965400600006,680.1584999993793
GOPR0374_11_00,000092.png,0.9,1.0,24.051512279682026,0.7760014655873609,684.6099000013055
GOPR0374_11_00,000093.png,0.9,1.0,22.864336448561314,0.7026732598953439,686.9635000002745
GOPR0374_11_00,000094.png,0.9,1.0,21.242429670373568,0.689628519771018,687.3870999988867
GOPR0374_11_00,000095.png,0.9,1.0,21.559959325204943,0.6768835557484169,684.1991000001144
GOPR0374_11_00,000096.png,0.9,1.0,23.405325965667934,0.7450420799376651,733.8513000013336
GOPR0374_11_00,000097.png,0.9,1.0,26.15672938620506,0.7938897707572415,720.8322000005865
GOPR0374_11_00,000098.png,0.9,1.0,25.4187963580273,0.7417793540196113,699.7537999995984
GOPR0374_11_00,000099.png,0.9,1.0,25.838551677264356,0.7713706193512407,697.0782000007603
GOPR0374_11_00,000100.png,0.9,1.0,25.495483310051043,0.7572693878154668,681.603000000905
GOPR0374_11_00,000101.png,0.9,1.0,24.79639452709078,0.7204937723882142,695.1613000001089
GOPR0374_11_00,000102.png,0.9,1.0,24.505912934474026,0.7022693827481364,702.8866000000562
GOPR0374_11_00,000103.png,0.9,1.0,25.083388154716605,0.8065879890232549,707.2473000007449
GOPR0374_11_00,000104.png,0.9,1.0,23.273451772804602,0.6651927917187703,699.7465999993437
GOPR0374_11_00,000105.png,0.9,1.0,23.882151760096374,0.6999823425876057,700.8250999988377
GOPR0374_11_00,000106.png,0.9,1.0,23.201435907830966,0.6618413658324586,686.9152999988728
GOPR0374_11_00,000107.png,0.9,1.0,23.044934481256703,0.6465270627313853,739.48240000027
GOPR0374_11_00,000108.png,0.9,1.0,24.319243884073998,0.710159071646764,682.713899999726
GOPR0374_11_00,000109.png,0.9,1.0,23.479037467170528,0.6716865133982585,678.4853999997722
